43697	5	2011-05-31 00:00:00
43697	9	2011-05-31 00:00:00
43702	5	2011-06-01 00:00:00
43702	9	2011-06-01 00:00:00
43703	5	2011-06-01 00:00:00
43703	9	2011-06-01 00:00:00
43706	5	2011-06-02 00:00:00
43706	9	2011-06-02 00:00:00
43707	5	2011-06-02 00:00:00
43707	9	2011-06-02 00:00:00
43709	5	2011-06-02 00:00:00
43709	9	2011-06-02 00:00:00
43710	5	2011-06-02 00:00:00
43710	9	2011-06-02 00:00:00
43711	5	2011-06-03 00:00:00
43711	9	2011-06-03 00:00:00
43712	5	2011-06-03 00:00:00
43712	9	2011-06-03 00:00:00
43713	5	2011-06-04 00:00:00
43713	9	2011-06-04 00:00:00
43714	5	2011-06-04 00:00:00
43714	9	2011-06-04 00:00:00
43715	5	2011-06-04 00:00:00
43715	9	2011-06-04 00:00:00
43716	5	2011-06-04 00:00:00
43716	9	2011-06-04 00:00:00
43718	5	2011-06-05 00:00:00
43718	9	2011-06-05 00:00:00
43719	5	2011-06-05 00:00:00
43719	9	2011-06-05 00:00:00
43720	5	2011-06-05 00:00:00
43720	9	2011-06-05 00:00:00
43721	5	2011-06-05 00:00:00
43721	9	2011-06-05 00:00:00
43722	5	2011-06-06 00:00:00
43722	9	2011-06-06 00:00:00
43724	5	2011-06-06 00:00:00
43724	9	2011-06-06 00:00:00
43725	5	2011-06-07 00:00:00
43725	9	2011-06-07 00:00:00
43727	5	2011-06-07 00:00:00
43727	9	2011-06-07 00:00:00
43728	5	2011-06-08 00:00:00
43728	9	2011-06-08 00:00:00
43731	5	2011-06-08 00:00:00
43731	9	2011-06-08 00:00:00
43733	5	2011-06-08 00:00:00
43733	9	2011-06-08 00:00:00
43734	5	2011-06-09 00:00:00
43734	9	2011-06-09 00:00:00
43735	5	2011-06-09 00:00:00
43735	9	2011-06-09 00:00:00
43737	5	2011-06-10 00:00:00
43737	9	2011-06-10 00:00:00
43738	5	2011-06-10 00:00:00
43738	9	2011-06-10 00:00:00
43739	5	2011-06-10 00:00:00
43739	9	2011-06-10 00:00:00
43740	5	2011-06-10 00:00:00
43740	9	2011-06-10 00:00:00
43741	5	2011-06-11 00:00:00
43741	9	2011-06-11 00:00:00
43742	5	2011-06-11 00:00:00
43742	9	2011-06-11 00:00:00
43744	5	2011-06-11 00:00:00
43744	9	2011-06-11 00:00:00
43745	5	2011-06-12 00:00:00
43745	9	2011-06-12 00:00:00
43746	5	2011-06-12 00:00:00
43746	9	2011-06-12 00:00:00
43747	5	2011-06-13 00:00:00
43747	9	2011-06-13 00:00:00
43748	5	2011-06-13 00:00:00
43748	9	2011-06-13 00:00:00
43749	5	2011-06-13 00:00:00
43749	9	2011-06-13 00:00:00
43750	5	2011-06-13 00:00:00
43750	9	2011-06-13 00:00:00
43751	5	2011-06-13 00:00:00
43751	9	2011-06-13 00:00:00
43752	5	2011-06-13 00:00:00
43752	9	2011-06-13 00:00:00
43753	5	2011-06-13 00:00:00
43753	9	2011-06-13 00:00:00
43754	5	2011-06-14 00:00:00
43754	9	2011-06-14 00:00:00
43755	5	2011-06-14 00:00:00
43755	9	2011-06-14 00:00:00
43758	5	2011-06-15 00:00:00
43758	9	2011-06-15 00:00:00
43759	5	2011-06-15 00:00:00
43759	9	2011-06-15 00:00:00
43760	5	2011-06-15 00:00:00
43760	9	2011-06-15 00:00:00
43761	5	2011-06-15 00:00:00
43761	9	2011-06-15 00:00:00
43762	5	2011-06-16 00:00:00
43762	9	2011-06-16 00:00:00
43763	5	2011-06-16 00:00:00
43763	9	2011-06-16 00:00:00
43764	5	2011-06-16 00:00:00
43764	9	2011-06-16 00:00:00
43766	5	2011-06-17 00:00:00
43766	9	2011-06-17 00:00:00
43768	5	2011-06-18 00:00:00
43768	9	2011-06-18 00:00:00
43769	5	2011-06-18 00:00:00
43769	9	2011-06-18 00:00:00
43770	5	2011-06-18 00:00:00
43770	9	2011-06-18 00:00:00
43772	5	2011-06-18 00:00:00
43772	9	2011-06-18 00:00:00
43773	5	2011-06-18 00:00:00
43773	9	2011-06-18 00:00:00
43774	5	2011-06-18 00:00:00
43774	9	2011-06-18 00:00:00
43776	5	2011-06-19 00:00:00
43776	9	2011-06-19 00:00:00
43777	5	2011-06-19 00:00:00
43777	9	2011-06-19 00:00:00
43780	5	2011-06-20 00:00:00
43780	9	2011-06-20 00:00:00
43781	5	2011-06-20 00:00:00
43781	9	2011-06-20 00:00:00
43782	5	2011-06-20 00:00:00
43782	9	2011-06-20 00:00:00
43783	5	2011-06-20 00:00:00
43783	9	2011-06-20 00:00:00
43784	5	2011-06-21 00:00:00
43784	9	2011-06-21 00:00:00
43785	5	2011-06-21 00:00:00
43785	9	2011-06-21 00:00:00
43786	5	2011-06-21 00:00:00
43786	9	2011-06-21 00:00:00
43791	5	2011-06-21 00:00:00
43791	9	2011-06-21 00:00:00
43792	5	2011-06-21 00:00:00
43792	9	2011-06-21 00:00:00
43795	5	2011-06-22 00:00:00
43795	9	2011-06-22 00:00:00
43797	5	2011-06-22 00:00:00
43797	9	2011-06-22 00:00:00
43798	5	2011-06-22 00:00:00
43798	9	2011-06-22 00:00:00
43799	5	2011-06-22 00:00:00
43799	9	2011-06-22 00:00:00
43800	5	2011-06-23 00:00:00
43800	9	2011-06-23 00:00:00
43801	5	2011-06-23 00:00:00
43801	9	2011-06-23 00:00:00
43802	5	2011-06-23 00:00:00
43802	9	2011-06-23 00:00:00
43803	5	2011-06-24 00:00:00
43803	9	2011-06-24 00:00:00
43804	5	2011-06-24 00:00:00
43804	9	2011-06-24 00:00:00
43806	5	2011-06-24 00:00:00
43806	9	2011-06-24 00:00:00
43807	5	2011-06-25 00:00:00
43807	9	2011-06-25 00:00:00
43808	5	2011-06-25 00:00:00
43808	9	2011-06-25 00:00:00
43809	5	2011-06-25 00:00:00
43809	9	2011-06-25 00:00:00
43812	5	2011-06-26 00:00:00
43812	9	2011-06-26 00:00:00
43815	5	2011-06-26 00:00:00
43815	9	2011-06-26 00:00:00
43816	5	2011-06-26 00:00:00
43816	9	2011-06-26 00:00:00
43817	5	2011-06-26 00:00:00
43817	9	2011-06-26 00:00:00
43818	5	2011-06-26 00:00:00
43818	9	2011-06-26 00:00:00
43820	5	2011-06-27 00:00:00
43820	9	2011-06-27 00:00:00
43821	5	2011-06-27 00:00:00
43821	9	2011-06-27 00:00:00
43822	5	2011-06-27 00:00:00
43822	9	2011-06-27 00:00:00
43825	5	2011-06-27 00:00:00
43825	9	2011-06-27 00:00:00
43828	5	2011-06-28 00:00:00
43828	9	2011-06-28 00:00:00
43829	5	2011-06-28 00:00:00
43829	9	2011-06-28 00:00:00
43830	5	2011-06-28 00:00:00
43830	9	2011-06-28 00:00:00
43832	5	2011-06-28 00:00:00
43832	9	2011-06-28 00:00:00
43833	5	2011-06-29 00:00:00
43833	9	2011-06-29 00:00:00
43838	5	2011-06-30 00:00:00
43838	9	2011-06-30 00:00:00
43839	5	2011-06-30 00:00:00
43839	9	2011-06-30 00:00:00
43841	5	2011-06-30 00:00:00
43841	9	2011-06-30 00:00:00
43842	5	2011-06-30 00:00:00
43842	9	2011-06-30 00:00:00
43918	5	2011-07-01 00:00:00
43918	9	2011-07-01 00:00:00
