1492	AUSTRALI0001	Australia Bike Retailer	1	1	1		2011-12-23 00:00:00
1494	ALLENSON0001	Allenson Cycles	2	1	1		2011-04-25 00:00:00
1496	ADVANCED0001	Advanced Bicycles	1	1	1		2011-04-25 00:00:00
1498	TRIKES0001	Trikes, Inc.	2	1	1		2012-02-03 00:00:00
1500	MORGANB0001	Morgan Bike Accessories	1	1	1		2012-02-02 00:00:00
1502	CYCLING0001	Cycling Master	1	1	1		2011-12-24 00:00:00
1504	CHICAGO0002	Chicago Rent-All	2	1	1		2011-12-24 00:00:00
1506	GREENWOO0001	Greenwood Athletic Company	1	1	1		2012-01-25 00:00:00
1508	COMPETE0001	Compete Enterprises, Inc	1	1	1		2011-12-24 00:00:00
1510	INTERNAT0001	International	1	1	1		2012-01-25 00:00:00
1512	LIGHTSP0001	Light Speed	1	1	1		2011-12-23 00:00:00
1514	TRAINING0001	Training Systems	1	1	1		2012-02-03 00:00:00
1516	GARDNER0001	Gardner Touring Cycles	1	0	0		2012-01-25 00:00:00
1518	INTERNAT0004	International Trek Center	1	1	1		2011-12-24 00:00:00
1520	G&KBI0001	G & K Bicycle Corp.	1	1	1		2011-12-24 00:00:00
1522	FIRSTNA0001	First National Sport Co.	1	1	1		2012-01-25 00:00:00
1524	RECREATI0001	Recreation Place	4	1	1		2012-02-02 00:00:00
1526	INTERNAT0002	International Bicycles	1	1	1		2012-01-25 00:00:00
1528	IMAGEMA0001	Image Makers Bike Center	1	1	1		2012-02-03 00:00:00
1530	COMFORT0001	Comfort Road Bicycles	1	1	1		2011-12-24 00:00:00
1532	KNOPFLER0001	Knopfler Cycles	1	1	1		2012-01-29 00:00:00
1534	READYRE0001	Ready Rentals	1	1	1		2012-02-02 00:00:00
1536	CRUGERB0001	Cruger Bike Company	1	1	1		2012-01-17 00:00:00
1538	VISTARO0001	Vista Road Bikes	3	1	1		2012-02-18 00:00:00
1540	BERGERON0001	Bergeron Off-Roads	1	1	1		2011-12-23 00:00:00
1542	HILLSBI0001	Hill's Bicycle Service	1	1	1		2012-01-25 00:00:00
1544	CIRCUIT0001	Circuit Cycles	1	0	0		2011-12-24 00:00:00
1546	GREENLA0001	Green Lake Bike Company	1	1	1		2012-01-29 00:00:00
1548	CONSUMER0001	Consumer Cycles	3	1	1		2011-12-24 00:00:00
1550	MERITBI0001	Merit Bikes	5	1	1		2012-02-03 00:00:00
1552	SPORTSH0001	Sports House	1	1	1		2012-01-25 00:00:00
1554	WESTAMER0001	WestAmerica Bicycle Co.	1	0	1		2012-02-18 00:00:00
1556	WESTJUN0001	West Junction Cycles	1	1	1		2012-02-18 00:00:00
1558	MARSH0001	Marsh	1	1	1		2012-02-03 00:00:00
1560	CAPITAL0001	Capital Road Cycles	1	1	1		2011-12-24 00:00:00
1562	NORSTAN0001	Norstan Bike Hut	1	1	1		2012-02-02 00:00:00
1564	ILLINOIS0001	Illinois Trek & Clothing	1	1	1		2011-12-23 00:00:00
1566	BURNETT0001	Burnett Road Warriors	1	1	1		2011-12-23 00:00:00
1568	CUSTOMF0001	Custom Frames, Inc.	2	1	1		2012-01-17 00:00:00
1570	FIRSTRA0001	First Rate Bicycles	1	1	1		2012-01-25 00:00:00
1572	NATIONAL0001	National Bike Association	1	1	1		2012-02-02 00:00:00
1574	JEFFSSP0001	Jeff's Sporting Goods	1	1	1		2011-12-24 00:00:00
1576	SUPERIOR0001	Superior Bicycles	1	1	1		2012-02-03 00:00:00
1578	VISIONC0001	Vision Cycles, Inc.	1	0	1		2012-02-18 00:00:00
1580	LITWARE0001	Litware, Inc.	1	1	1	www.litwareinc.com/	2011-04-25 00:00:00
1582	INNERCI0001	Inner City Bikes	3	1	1		2012-01-25 00:00:00
1584	TREYRE0001	Trey Research	3	1	1	www.treyresearch.net/	2012-01-25 00:00:00
1586	MITCHELL0001	Mitchell Sports	1	1	1		2012-02-02 00:00:00
1588	SIGNATUR0001	Signature Cycles	2	1	1		2012-02-02 00:00:00
1590	SUPERSAL0001	SUPERSALES INC.	1	1	1		2012-02-03 00:00:00
1592	LINDELL0001	Lindell	1	1	1		2012-01-29 00:00:00
1594	FITNESS0001	Fitness Association	1	1	1		2012-02-03 00:00:00
1596	ADATUM0001	A. Datum Corporation	1	1	1	www.adatum.com/	2011-12-24 00:00:00
1598	CONTINEN0001	Continental Pro Cycles	3	1	1		2011-12-24 00:00:00
1600	FEDERAL0001	Federal Sport	3	1	1		2012-01-25 00:00:00
1602	BEAUMONT0001	Beaumont Bikes	1	0	1		2011-12-23 00:00:00
1604	BIKESAT0001	Bike Satellite Inc.	1	0	1		2011-12-23 00:00:00
1606	NORTHW0001	Northwind Traders	1	1	1	www.northwindtraders.com/	2012-01-25 00:00:00
1608	SPORTPL0001	Sport Playground	1	1	1		2012-02-02 00:00:00
1610	HYBRIDB0001	Hybrid Bicycle Center	1	1	1		2012-01-25 00:00:00
1612	MIDWEST0001	Midwest Sport, Inc.	1	1	1		2012-02-02 00:00:00
