275	2	2011-05-31 00:00:00	2012-11-29 00:00:00	{8563CE6A-00FF-47D7-BA4D-3C3E1CDEF531}	2012-11-22 00:00:00
275	3	2012-11-30 00:00:00		{2F44304C-EE87-4C72-813E-CA75C5F61F4C}	2012-11-23 00:00:00
276	4	2011-05-31 00:00:00		{64BCB1B3-A793-40BA-9859-D90F78C3F167}	2011-05-24 00:00:00
277	3	2011-05-31 00:00:00	2012-11-29 00:00:00	{3E9F893D-5142-46C9-A76A-867D1E3D6F90}	2012-11-22 00:00:00
277	2	2012-11-30 00:00:00		{132E4721-32DD-4A73-B556-1837F3A2B9AE}	2012-11-23 00:00:00
278	6	2011-05-31 00:00:00		{B7C8F9F5-5FB8-47B3-BE73-1B9A14BDF8B9}	2011-05-24 00:00:00
279	5	2011-05-31 00:00:00		{57D1CDCF-62CE-499F-8BE8-1BB71C4BB7EF}	2011-05-24 00:00:00
280	1	2011-05-31 00:00:00	2012-09-29 00:00:00	{FD3F5566-10E2-4960-BE12-0365E5665881}	2012-09-22 00:00:00
281	4	2011-05-31 00:00:00		{9D8754B2-C320-40DB-A77F-FF5A1BC0F46B}	2011-05-24 00:00:00
282	6	2011-05-31 00:00:00	2012-05-29 00:00:00	{2C9F5240-D8BF-4F85-897D-6083146DBC4B}	2012-05-22 00:00:00
282	10	2012-05-30 00:00:00		{92375465-38C6-4C86-ABA1-9838A2969475}	2012-05-23 00:00:00
283	1	2011-05-31 00:00:00		{009F7660-44A6-4ADF-BD4B-A5D1B79993F5}	2011-05-24 00:00:00
284	1	2012-09-30 00:00:00		{ED12F921-8023-48EF-84BD-94D942F4C009}	2012-09-23 00:00:00
286	9	2013-05-30 00:00:00		{D664D989-2BEB-4F2C-A4AA-691018965283}	2013-05-23 00:00:00
288	8	2013-05-30 00:00:00		{3E1360CB-32E0-4286-8D98-8539F1AB2550}	2013-05-23 00:00:00
289	6	2012-05-30 00:00:00		{987613ED-33D6-42A6-B992-0B33E9234934}	2012-05-23 00:00:00
290	7	2012-05-30 00:00:00		{8895E74D-6D38-4140-BBEA-A8136A2F480E}	2012-05-23 00:00:00
