1	1	2011-04-30 00:00:00	4	1	50.26	201.04	3.00	.00	3.00	2011-04-23 00:00:00
2	2	2011-04-30 00:00:00	3	359	45.12	135.36	3.00	.00	3.00	2011-04-23 00:00:00
2	3	2011-04-30 00:00:00	3	360	45.5805	136.7415	3.00	.00	3.00	2011-04-23 00:00:00
3	4	2011-04-30 00:00:00	550	530	16.086	8847.3	550.00	.00	550.00	2011-04-23 00:00:00
4	5	2011-04-30 00:00:00	3	4	57.0255	171.0765	2.00	1.00	1.00	2011-04-23 00:00:00
5	6	2011-05-14 00:00:00	550	512	37.086	20397.3	550.00	.00	550.00	2011-05-07 00:00:00
6	7	2011-05-14 00:00:00	550	513	26.5965	14628.075	468.00	.00	468.00	2011-05-07 00:00:00
7	8	2011-05-14 00:00:00	550	317	27.0585	14882.175	550.00	.00	550.00	2011-05-07 00:00:00
7	9	2011-05-14 00:00:00	550	318	33.579	18468.45	550.00	.00	550.00	2011-05-07 00:00:00
7	10	2011-05-14 00:00:00	550	319	46.0635	25334.925	550.00	.00	550.00	2011-05-07 00:00:00
8	11	2011-05-14 00:00:00	3	403	47.4705	142.4115	3.00	.00	3.00	2011-05-07 00:00:00
8	12	2011-05-14 00:00:00	3	404	45.3705	136.1115	3.00	.00	3.00	2011-05-07 00:00:00
8	13	2011-05-14 00:00:00	3	405	49.644	148.932	3.00	.00	3.00	2011-05-07 00:00:00
8	14	2011-05-14 00:00:00	3	406	45.3705	136.1115	3.00	.00	3.00	2011-05-07 00:00:00
8	15	2011-05-14 00:00:00	3	407	43.2705	129.8115	3.00	.00	3.00	2011-05-07 00:00:00
9	16	2011-12-28 00:00:00	3	422	47.523	142.569	3.00	.00	3.00	2011-12-21 00:00:00
9	17	2011-12-28 00:00:00	3	423	45.423	136.269	3.00	.00	3.00	2011-12-21 00:00:00
9	18	2011-12-28 00:00:00	3	424	49.6965	149.0895	3.00	.00	3.00	2011-12-21 00:00:00
9	19	2011-12-28 00:00:00	3	425	45.423	136.269	3.00	.00	3.00	2011-12-21 00:00:00
9	20	2011-12-28 00:00:00	3	426	43.323	129.969	3.00	.00	3.00	2011-12-21 00:00:00
10	21	2011-12-28 00:00:00	3	320	47.4705	142.4115	3.00	.00	3.00	2011-12-21 00:00:00
10	22	2011-12-28 00:00:00	3	321	42.798	128.394	3.00	.00	3.00	2011-12-21 00:00:00
10	23	2011-12-28 00:00:00	60	322	25.4205	1525.23	60.00	.00	60.00	2011-12-21 00:00:00
